ID,Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min)
5A7B,35,4.8,Meal ,scooter ,23
11C6,26,4.8,Buffet ,motorcycle ,22
9E0C,31,4.4,Buffet ,scooter ,33
A01B,29,4.8,Meal ,scooter ,24
16F9,22,4.6,Buffet ,scooter ,12
2677,29,5.0,Snack ,scooter ,16
4C93,20,4.1,Snack ,motorcycle ,16
7D0E,36,4.4,Drinks ,motorcycle ,48
58F5,32,4.5,Buffet ,motorcycle ,25
DA21,32,4.9,Buffet ,scooter ,16
B615,35,4.5,Meal ,scooter ,27
D7E5,30,4.3,Drinks ,motorcycle ,34
5D91,24,4.9,Meal ,motorcycle ,17
94FD,27,4.7,Meal ,motorcycle ,24
4646,31,4.9,Buffet ,electric_scooter ,31
A23B,30,4.6,Buffet ,motorcycle ,25
2A61,23,4.3,Buffet ,scooter ,39
5.8E+10,24,4.9,Drinks ,motorcycle ,33
D9E2,30,4.9,Drinks ,electric_scooter ,27
3B62,29,4.8,Meal ,motorcycle ,19
D34D,31,4.7,Meal ,electric_scooter ,34
89F1,21,4.9,Drinks ,electric_scooter ,19
46FB,20,4.8,Snack ,scooter ,26
5544,22,4.6,Drinks ,electric_scooter ,27
D77F,24,4.6,Snack ,scooter ,26
4A0D,37,4.6,Meal ,scooter ,34
DD36,28,5.0,Meal ,scooter ,11
3D9A,20,4.7,Snack ,motorcycle ,14
7458,36,4.6,Snack ,scooter ,31
455D,24,4.6,Buffet ,scooter ,14
7598,20,4.9,Drinks ,scooter ,22
2DAA,39,4.8,Buffet ,motorcycle ,10
4ADA,32,4.2,Buffet ,motorcycle ,40
9B02,20,4.7,Meal ,scooter ,24
60AE,30,5.0,Buffet ,motorcycle ,33
4C03,26,4.6,Snack ,electric_scooter ,13
9444,25,4.5,Buffet ,motorcycle ,16
2166,25,4.7,Buffet ,scooter ,25
98EE,37,4.6,Snack ,motorcycle ,54
C585,26,4.9,Drinks ,scooter ,10
5B33,21,4.0,Meal ,electric_scooter ,31
DA32,28,4.3,Buffet ,scooter ,32
BADC,37,4.9,Snack ,scooter ,17
2972,29,4.6,Meal ,scooter ,17
1.2E+06,24,4.6,Snack ,scooter ,26
6403,38,4.9,Snack ,motorcycle ,53
AF68,37,4.6,Drinks ,scooter ,28
9DD0,38,4.8,Snack ,scooter ,18
7A23,38,4.5,Meal ,motorcycle ,30
6E1A,39,3.7,Drinks ,motorcycle ,37
4B0,29,4.6,Buffet ,scooter ,25
752A,29,4.6,Drinks ,scooter ,20
45B,29,4.6,Buffet ,scooter ,21
CD89,32,4.1,Snack ,motorcycle ,34
D1DD,20,4.9,Buffet ,motorcycle ,15
225B,25,5.0,Snack ,motorcycle ,29
D633,28,4.7,Buffet ,scooter ,17
C345,39,4.1,Meal ,electric_scooter ,33
9AD0,27,5.0,Buffet ,motorcycle ,21
BF40,29,4.6,Snack ,electric_scooter ,26
841E,35,4.8,Snack ,motorcycle ,42
487D,26,4.9,Drinks ,scooter ,22
A419,28,4.7,Buffet ,motorcycle ,35
E12E,39,4.7,Buffet ,motorcycle ,28
59C7,36,4.7,Meal ,motorcycle ,29
49FA,39,4.7,Drinks ,motorcycle ,27
AE8A,35,4.9,Drinks ,motorcycle ,35
97C8,35,4.7,Buffet ,scooter ,26
82ED,31,4.2,Drinks ,scooter ,32
64A3,21,4.9,Drinks ,motorcycle ,36
2BB4,35,4.9,Snack ,electric_scooter ,18
ABA9,34,4.6,Drinks ,motorcycle ,30
B8CC,29,4.1,Meal ,motorcycle ,31
ABE3,23,4.8,Drinks ,motorcycle ,13
BB59,29,4.6,Snack ,scooter ,17
BC31,24,5.0,Meal ,motorcycle ,25
44B1,22,4.6,Buffet ,electric_scooter ,18
668E,38,4.7,Snack ,motorcycle ,29
BC0D,29,5.0,Drinks ,motorcycle ,17
FE6,22,5.0,Snack ,motorcycle ,15
583D,21,4.9,Drinks ,scooter ,30
4823,25,4.9,Snack ,scooter ,21
27B1,32,4.8,Snack ,scooter ,17
8DFC,20,4.7,Buffet ,motorcycle ,30
6BE2,37,4.8,Meal ,scooter ,10
C3B1,29,4.6,Drinks ,motorcycle ,26
7BFF,36,4.4,Meal ,scooter ,33
66F0,29,4.5,Snack ,motorcycle ,13
1059,33,4.7,Buffet ,scooter ,38
1FEC,31,4.7,Snack ,motorcycle ,23
B731,30,4.6,Drinks ,motorcycle ,33
8B7A,38,4.9,Drinks ,scooter ,16
CC38,36,5.0,Buffet ,motorcycle ,50
2EE4,35,4.9,Drinks ,scooter ,17
8ED7,20,4.8,Buffet ,motorcycle ,21
5515,26,5.0,Buffet ,motorcycle ,21
3B30,38,4.0,Drinks ,motorcycle ,33
664B,30,4.3,Snack ,scooter ,33
DF26,27,4.9,Meal ,motorcycle ,28
C7D,39,4.9,Snack ,motorcycle ,28
D13A,35,4.2,Drinks ,motorcycle ,31
DA8B,31,5.0,Meal ,scooter ,27
6B40,32,5.0,Snack ,scooter ,27
AED,31,4.0,Drinks ,motorcycle ,34
2C66,32,4.7,Meal ,scooter ,15
D486,29,4.9,Snack ,motorcycle ,10
79DB,34,4.7,Buffet ,motorcycle ,33
37A9,37,4.6,Buffet ,motorcycle ,45
4.3E+08,36,3.5,Snack ,motorcycle ,34
660B,32,4.6,Buffet ,motorcycle ,28
3002,21,4.8,Buffet ,electric_scooter ,17
3B0E,37,5.0,Drinks ,scooter ,33
5FE8,34,4.0,Drinks ,motorcycle ,44
9CFB,28,4.9,Buffet ,scooter ,25
514C,33,4.9,Buffet ,scooter ,15
799,32,4.8,Drinks ,motorcycle ,29
9065,28,4.9,Buffet ,motorcycle ,26
3CF2,32,4.7,Drinks ,motorcycle ,36
3D89,35,4.6,Buffet ,motorcycle ,30
71C1,37,4.8,Drinks ,motorcycle ,28
2EA1,31,4.9,Drinks ,scooter ,37
AD10,37,4.6,Buffet ,scooter ,18
CC29,21,4.8,Drinks ,scooter ,22
1100,25,4.6,Snack ,scooter ,12
B07D,36,4.9,Drinks ,motorcycle ,26
87F9,27,3.7,Meal ,motorcycle ,47
7C34,20,4.6,Buffet ,motorcycle ,37
AD37,32,4.8,Drinks ,electric_scooter ,21
A59A,36,4.7,Meal ,motorcycle ,38
2089,27,4.6,Buffet ,electric_scooter ,12
3.9E+05,26,4.7,Buffet ,electric_scooter ,16
1895,20,4.7,Snack ,motorcycle ,11
221E,37,4.5,Snack ,motorcycle ,29
2E4B,24,4.9,Drinks ,motorcycle ,18
327C,36,4.1,Drinks ,motorcycle ,21
6A9F,28,4.5,Meal ,motorcycle ,19
C0E2,29,4.8,Snack ,electric_scooter ,21
B84,23,4.8,Buffet ,motorcycle ,26
BCAF,27,4.6,Meal ,motorcycle ,24
B285,24,4.9,Drinks ,motorcycle ,21
3DBA,28,5.0,Drinks ,motorcycle ,11
9DD6,26,5.0,Buffet ,motorcycle ,35
39ED,36,4.6,Meal ,motorcycle ,31
8E8E,36,4.4,Meal ,scooter ,31
4130,33,4.9,Meal ,motorcycle ,27
6392,39,4.8,Meal ,motorcycle ,15
21F3,30,4.7,Drinks ,motorcycle ,27
2F29,28,4.6,Drinks ,scooter ,18
BFF9,24,4.8,Meal ,scooter ,26
61D1,39,4.5,Meal ,motorcycle ,25
2E9F,26,4.7,Snack ,motorcycle ,26
8EFE,27,5.0,Meal ,electric_scooter ,27
2E+93,33,4.8,Meal ,scooter ,18
BD70,34,4.2,Snack ,motorcycle ,46
A777,29,4.8,Drinks ,scooter ,39
926D,31,5.0,Snack ,motorcycle ,32
8446,32,3.7,Meal ,scooter ,35
C2B0,26,4.9,Snack ,motorcycle ,27
924,29,4.6,Meal ,scooter ,29
61A5,20,4.8,Snack ,scooter ,29
3CC8,23,4.6,Buffet ,scooter ,24
43BC,27,5.0,Buffet ,motorcycle ,17
2EA0,25,4.9,Drinks ,scooter ,12
600A,39,4.8,Snack ,motorcycle ,29
1892,21,4.9,Snack ,scooter ,15
3415,30,4.5,Drinks ,electric_scooter ,37
C5C1,24,4.7,Meal ,scooter ,13
3698,39,4.6,Buffet ,motorcycle ,34
3805,28,4.8,Drinks ,scooter ,29
5458,28,4.8,Meal ,motorcycle ,15
35A3,35,5.0,Snack ,motorcycle ,48
A449,25,4.9,Snack ,motorcycle ,21
5D4D,25,4.4,Drinks ,motorcycle ,15
C2F0,36,4.8,Meal ,motorcycle ,27
7BDD,21,4.6,Snack ,motorcycle ,22
5.4E+07,26,4.5,Meal ,motorcycle ,12
8319,25,4.5,Snack ,motorcycle ,23
352E,22,3.7,Meal ,motorcycle ,43
DACC,37,4.1,Buffet ,motorcycle ,35
2E+85,33,3.9,Meal ,motorcycle ,42
4933,22,4.5,Drinks ,motorcycle ,20
77C7,37,4.5,Meal ,motorcycle ,21
66FD,22,4.5,Snack ,scooter ,14
698,29,4.6,Snack ,scooter ,27
DDBF,23,4.5,Buffet ,scooter ,21
6628,28,4.9,Buffet ,motorcycle ,19
AA98,28,4.8,Drinks ,motorcycle ,40
3D59,20,4.9,Meal ,scooter ,10
B685,24,4.0,Drinks ,scooter ,31
4A25,39,4.6,Drinks ,motorcycle ,28
6D28,24,4.6,Meal ,scooter ,38
73BD,32,4.7,Snack ,motorcycle ,33
49DF,28,4.5,Drinks ,electric_scooter ,27
BAAD,26,4.9,Buffet ,motorcycle ,27
2BB7,24,4.8,Meal ,scooter ,23
B6C4,29,5.0,Drinks ,motorcycle ,34
8397,23,4.8,Buffet ,scooter ,29
782B,30,4.5,Meal ,motorcycle ,23
99BF,21,4.6,Drinks ,scooter ,23
2453,34,4.9,Drinks ,scooter ,12
26A2,32,4.5,Snack ,motorcycle ,21
72F0,21,4.6,Buffet ,motorcycle ,23
347C,22,4.6,Buffet ,scooter ,28
6.7E+06,30,4.0,Snack ,motorcycle ,32
D274,39,4.1,Snack ,scooter ,47
8392,23,4.8,Snack ,motorcycle ,23
4776,32,4.7,Meal ,electric_scooter ,32
B2D,28,4.6,Meal ,motorcycle ,18
3AFE,22,4.9,Snack ,scooter ,18
D7BD,34,4.9,Buffet ,motorcycle ,34
7530,34,4.9,Meal ,scooter ,21
512B,33,5.0,Meal ,electric_scooter ,23
ACEB,35,4.9,Buffet ,scooter ,27
A951,36,4.7,Drinks ,scooter ,44
A6C6,38,4.5,Drinks ,motorcycle ,20
8.6E+04,35,4.6,Drinks ,motorcycle ,27
F5A,24,4.6,Drinks ,motorcycle ,28
9118,20,4.7,Snack ,electric_scooter ,28
7F82,20,4.2,Meal ,scooter ,38
1.3E+07,26,4.9,Meal ,motorcycle ,26
C615,35,4.8,Meal ,scooter ,19
8001,21,4.2,Meal ,motorcycle ,37
D5E0,30,4.9,Meal ,scooter ,27
61BC,21,4.5,Drinks ,motorcycle ,28
9DBC,31,4.6,Snack ,motorcycle ,53
C0C4,24,5.0,Snack ,motorcycle ,21
633A,27,5.0,Snack ,motorcycle ,33
DB23,29,3.5,Drinks ,motorcycle ,41
78BE,33,4.8,Buffet ,motorcycle ,19
CBD5,21,4.9,Drinks ,motorcycle ,13
6620,26,4.7,Snack ,motorcycle ,25
684C,36,5.0,Snack ,motorcycle ,32
DAD1,38,4.7,Snack ,motorcycle ,27
8F4A,24,4.4,Buffet ,motorcycle ,32
ACBA,37,4.6,Meal ,scooter ,29
A949,29,4.9,Snack ,scooter ,19
4D13,30,4.6,Meal ,electric_scooter ,25
2E7E,27,4.5,Snack ,scooter ,10
CF56,34,4.7,Drinks ,motorcycle ,29
6EFB,37,3.5,Snack ,scooter ,37
B01B,39,4.8,Meal ,motorcycle ,31
9803,39,4.8,Meal ,motorcycle ,37
2959,29,4.6,Buffet ,motorcycle ,33
C9A,29,4.9,Drinks ,motorcycle ,33
DCE,29,4.6,Meal ,motorcycle ,21
726B,30,4.7,Snack ,motorcycle ,36
78B8,30,4.7,Snack ,motorcycle ,25
1A07,24,4.5,Snack ,motorcycle ,10
2773,37,4.9,Snack ,scooter ,18
3323,32,4.2,Meal ,scooter ,39
C54F,29,4.9,Drinks ,motorcycle ,18
3921,35,4.0,Drinks ,scooter ,37
238C,34,4.2,Drinks ,scooter ,33
C2EE,29,4.8,Snack ,scooter ,24
3209,35,4.5,Buffet ,electric_scooter ,26
CFE2,35,4.5,Snack ,motorcycle ,22
8C42,27,4.7,Snack ,scooter ,15
64B0,27,4.7,Snack ,scooter ,18
2632,22,4.5,Buffet ,motorcycle ,15
7532,31,4.7,Meal ,motorcycle ,20
8B32,33,5.0,Drinks ,motorcycle ,42
CA84,35,4.7,Buffet ,scooter ,24
8899,37,4.3,Meal ,scooter ,36
4E+18,20,4.0,Buffet ,scooter ,33
D815,32,5.0,Buffet ,motorcycle ,49
474D,28,4.0,Drinks ,electric_scooter ,37
BAD 7.00,36,4.2,Snack ,motorcycle ,47
55BC,35,4.5,Meal ,scooter ,29
1056,25,4.3,Buffet ,motorcycle ,34
D54,29,4.6,Snack ,motorcycle ,21
70B2,36,4.2,Drinks ,scooter ,31
C6B4,37,5.0,Snack ,motorcycle ,17
CEB2,36,4.7,Meal ,motorcycle ,30
726,29,4.6,Drinks ,scooter ,19
65F4,31,4.9,Buffet ,motorcycle ,35
7D5A,39,4.2,Drinks ,motorcycle ,38
6C00,23,4.3,Meal ,motorcycle ,31
12C7,21,5.0,Snack ,scooter ,15
551F,31,4.6,Drinks ,electric_scooter ,19
664F,38,4.8,Snack ,motorcycle ,25
B3FD,28,4.7,Meal ,scooter ,28
C7EE,29,4.6,Snack ,scooter ,19
5A4E,28,5.0,Meal ,motorcycle ,17
7857,30,4.1,Snack ,scooter ,44
1293,34,4.9,Drinks ,scooter ,24
2687,29,5.0,Drinks ,motorcycle ,24
8646,35,4.9,Drinks ,scooter ,28
D9AE,39,4.8,Buffet ,scooter ,23
CE67,23,4.6,Meal ,motorcycle ,12
260F,30,4.9,Drinks ,motorcycle ,25
AF59,28,4.8,Meal ,scooter ,17
740,29,4.6,Meal ,electric_scooter ,25
B6E,20,4.8,Meal ,scooter ,18
943D,22,4.6,Buffet ,scooter ,27
6978,39,4.3,Buffet ,motorcycle ,38
6A75,22,4.7,Buffet ,motorcycle ,20
ADB3,38,4.3,Snack ,motorcycle ,26
28A2,25,4.6,Snack ,scooter ,33
9.1E+10,33,4.8,Meal ,motorcycle ,30
8414,35,4.8,Snack ,motorcycle ,28
EE4,20,4.6,Drinks ,motorcycle ,23
C485,32,4.8,Meal ,motorcycle ,26
5FF6,39,4.3,Buffet ,scooter ,32
CE5C,30,4.8,Snack ,scooter ,22
90AC,39,4.7,Drinks ,electric_scooter ,39
3D0C,24,4.9,Buffet ,motorcycle ,21
B5F2,37,4.3,Buffet ,motorcycle ,31
C97B,33,4.8,Buffet ,motorcycle ,27
50F9,26,4.9,Meal ,scooter ,19
D591,21,4.5,Snack ,motorcycle ,18
A2CB,21,4.7,Drinks ,motorcycle ,16
961F,27,4.9,Meal ,scooter ,16
3C2D,26,4.7,Drinks ,motorcycle ,19
C851,37,4.9,Meal ,motorcycle ,42
990E,22,4.7,Buffet ,scooter ,20
AFC2,21,4.8,Buffet ,motorcycle ,41
79D8,32,4.9,Meal ,motorcycle ,20
4BC1,37,4.6,Snack ,motorcycle ,41
C948,33,4.7,Drinks ,motorcycle ,42
7E+09,29,4.8,Buffet ,motorcycle ,25
5001,37,4.3,Buffet ,scooter ,37
1EC9,29,4.6,Drinks ,motorcycle ,15
5FF,29,4.6,Snack ,electric_scooter ,39
E267,20,4.9,Buffet ,scooter ,16
4CC0,20,4.4,Snack ,motorcycle ,28
7358,37,4.9,Snack ,scooter ,34
2B2D,28,4.8,Drinks ,motorcycle ,22
12BC,23,5.0,Snack ,motorcycle ,13
41C5,39,4.9,Meal ,motorcycle ,38
4C8E,35,4.9,Drinks ,motorcycle ,29
BEC 2.00,35,4.9,Snack ,scooter ,18
A3B2,28,4.7,Buffet ,motorcycle ,18
19C5,28,4.8,Meal ,scooter ,20
B360,28,4.8,Meal ,electric_scooter ,25
341B,38,4.7,Snack ,scooter ,28
49D3,38,4.7,Drinks ,motorcycle ,30
966D,22,4.9,Meal ,motorcycle ,10
3CD2,35,4.6,Snack ,scooter ,17
E1B0,24,4.6,Snack ,scooter ,19
2C20,21,4.6,Buffet ,motorcycle ,23
7.5E+02,26,4.6,Meal ,motorcycle ,16
6E+10,20,4.7,Drinks ,motorcycle ,13
73D0,28,4.7,Snack ,motorcycle ,15
D3CF,22,5.0,Snack ,scooter ,18
5B9A,25,4.7,Meal ,scooter ,27
2811,28,4.5,Snack ,scooter ,20
A8A1,36,4.3,Snack ,motorcycle ,33
92B2,34,4.1,Meal ,motorcycle ,30
4560,33,4.6,Drinks ,scooter ,20
9C49,27,4.6,Buffet ,motorcycle ,28
17A2,28,4.7,Buffet ,motorcycle ,25
3979,20,4.6,Buffet ,motorcycle ,15
7A28,35,4.9,Snack ,scooter ,22
7D32,28,4.0,Drinks ,motorcycle ,34
2.7E+09,20,4.2,Drinks ,motorcycle ,46
345A,33,5.0,Snack ,electric_scooter ,29
CB0E,24,4.7,Snack ,scooter ,26
2DC7,33,4.6,Meal ,motorcycle ,34
86D0,20,4.8,Snack ,scooter ,18
1742,25,4.5,Buffet ,motorcycle ,18
AD99,24,4.9,Snack ,electric_scooter ,14
C598,23,4.0,Buffet ,scooter ,33
9CF7,31,3.9,Meal ,motorcycle ,38
DE15,21,4.7,Meal ,scooter ,13
D616,24,4.2,Snack ,motorcycle ,22
7D16,39,5.0,Drinks ,motorcycle ,37
3771,20,4.6,Buffet ,scooter ,19
88EF,29,5.0,Meal ,motorcycle ,32
987B,23,4.8,Drinks ,motorcycle ,17
70EA,36,4.1,Drinks ,motorcycle ,25
565C,38,4.6,Buffet ,motorcycle ,23
BEAD,26,4.9,Drinks ,motorcycle ,21
501B,26,4.7,Snack ,scooter ,19
93A1,25,4.5,Meal ,motorcycle ,23
1C53,35,4.8,Meal ,scooter ,27
C24C,29,5.0,Meal ,motorcycle ,43
DAAF,22,4.9,Buffet ,electric_scooter ,25
AB3,29,4.6,Meal ,scooter ,30
7261,30,4.7,Snack ,motorcycle ,47
869B,32,5.0,Buffet ,motorcycle ,20
89DA,23,4.6,Buffet ,motorcycle ,19
2BF8,26,4.9,Snack ,motorcycle ,30
5BA1,28,4.6,Buffet ,scooter ,14
44CB,38,4.9,Drinks ,scooter ,17
5E+62,25,4.8,Buffet ,motorcycle ,22
A073,26,5.0,Snack ,scooter ,28
A463,39,4.9,Snack ,motorcycle ,33
6B30,25,4.9,Snack ,scooter ,16
1868,36,4.1,Meal ,motorcycle ,47
D26E,26,4.6,Meal ,motorcycle ,26
D4FC,38,4.6,Meal ,motorcycle ,23
C0DE,39,3.4,Buffet ,motorcycle ,34
CCD0,24,4.6,Drinks ,scooter ,21
66C1,35,4.3,Meal ,motorcycle ,33
80DD,33,4.6,Buffet ,scooter ,29
14B0,30,4.7,Snack ,motorcycle ,20
68A9,33,4.7,Meal ,scooter ,16
8A72,39,4.9,Meal ,motorcycle ,33
9530,26,4.9,Drinks ,scooter ,43
5F47,28,4.7,Buffet ,scooter ,22
7FDE,22,4.6,Snack ,electric_scooter ,10
FDB,20,4.7,Buffet ,electric_scooter ,19
BA30,25,4.0,Drinks ,electric_scooter ,34
C9DF,29,4.9,Snack ,motorcycle ,29
7A3E,37,4.8,Drinks ,motorcycle ,30
CE08,32,4.9,Buffet ,scooter ,16
6C31,22,4.8,Meal ,scooter ,15
C154,29,4.6,Drinks ,scooter ,26
6A12,28,4.6,Buffet ,scooter ,39
4DD6,25,4.7,Buffet ,motorcycle ,16
33EB,27,4.6,Buffet ,motorcycle ,16
867A,39,4.9,Snack ,scooter ,17
2250,20,4.8,Buffet ,scooter ,20
26BD,31,4.5,Drinks ,scooter ,29
7A85,38,4.7,Buffet ,scooter ,15
9A71,22,4.2,Meal ,motorcycle ,18
B211,33,3.9,Buffet ,scooter ,34
AD64,24,4.6,Snack ,motorcycle ,26
6F0D,23,5.0,Meal ,motorcycle ,25
8D0B,34,3.7,Snack ,scooter ,37
7B6,37,4.8,Meal ,scooter ,29
5AAA,21,4.9,Meal ,motorcycle ,18
4047,38,5.0,Buffet ,motorcycle ,53
DB33,27,4.1,Buffet ,motorcycle ,27
654,39,4.3,Meal ,motorcycle ,42
494A,35,4.5,Drinks ,scooter ,39
2AC8,25,4.7,Drinks ,electric_scooter ,18
B027,30,5.0,Meal ,scooter ,20
1676,38,4.6,Meal ,scooter ,17
7DCE,36,4.3,Buffet ,motorcycle ,31
7886,30,4.1,Buffet ,scooter ,49
B162,28,4.7,Drinks ,scooter ,18
7D46,21,4.7,Drinks ,motorcycle ,19
99AA,24,4.9,Meal ,motorcycle ,14
AD5C,32,4.0,Snack ,scooter ,35
7A84,22,4.5,Drinks ,motorcycle ,21
B505,31,4.6,Buffet ,scooter ,45
DBE6,23,4.9,Meal ,motorcycle ,23
D5F8,35,4.8,Drinks ,motorcycle ,25
D332,23,4.1,Snack ,electric_scooter ,36
9577,22,4.6,Snack ,scooter ,25
7AC9,32,4.7,Drinks ,scooter ,16
BD4,29,4.6,Buffet ,motorcycle ,33
B91A,39,4.1,Drinks ,motorcycle ,35
36CF,38,4.6,Buffet ,motorcycle ,38
937D,37,4.9,Meal ,motorcycle ,38
CEE0,24,4.7,Buffet ,motorcycle ,39
2058,32,4.7,Buffet ,motorcycle ,38
4020,38,4.4,Meal ,motorcycle ,31
88D7,33,3.8,Buffet ,scooter ,44
5980,28,4.0,Buffet ,motorcycle ,38
2E+40,20,4.6,Drinks ,motorcycle ,14
403E,36,4.0,Meal ,motorcycle ,44
DB8,31,4.8,Drinks ,motorcycle ,25
D625,39,4.2,Drinks ,motorcycle ,54
6040,22,4.8,Drinks ,motorcycle ,25
DC79,29,4.8,Drinks ,scooter ,19
651F,31,4.4,Drinks ,motorcycle ,35
A2F0,37,4.6,Drinks ,scooter ,30
D459,30,4.8,Snack ,scooter ,26
641E,23,4.9,Snack ,motorcycle ,30
A1DC,32,4.4,Buffet ,motorcycle ,43
D44E,35,4.7,Meal ,motorcycle ,33
859A,26,4.6,Buffet ,motorcycle ,11
316F,25,4.7,Buffet ,electric_scooter ,14
1E1A,22,4.8,Snack ,scooter ,14
15C2,28,5.0,Meal ,motorcycle ,20
CF22,30,4.0,Drinks ,motorcycle ,27
CDBF,20,4.6,Meal ,scooter ,15
3955,32,4.8,Meal ,scooter ,16
7F4F,35,4.5,Snack ,electric_scooter ,19
2005,21,4.7,Snack ,motorcycle ,21
4.9E+07,33,4.7,Snack ,scooter ,30
92A1,30,4.4,Meal ,motorcycle ,34
D973,37,4.5,Buffet ,scooter ,25
D6D2,22,4.0,Meal ,motorcycle ,41
BEDA,34,4.7,Snack ,motorcycle ,27
2105,23,4.9,Drinks ,motorcycle ,28
DB95,38,4.3,Drinks ,electric_scooter ,39
6F13,23,4.9,Buffet ,motorcycle ,15
44E,29,4.6,Snack ,scooter ,21
3A25,36,4.7,Buffet ,motorcycle ,24
AA2,29,4.6,Snack ,motorcycle ,43
4702,20,4.6,Drinks ,motorcycle ,28
468F,25,4.6,Snack ,motorcycle ,19
A251,25,4.6,Drinks ,motorcycle ,37
BDA6,37,4.7,Drinks ,motorcycle ,24
769F,21,4.7,Snack ,motorcycle ,24
DB20,38,4.8,Drinks ,motorcycle ,53
D8E9,34,4.9,Snack ,motorcycle ,22
C50A,32,4.9,Meal ,scooter ,25
7904,26,4.9,Meal ,motorcycle ,27
29CC,36,4.9,Snack ,scooter ,23
ADBE,38,4.1,Drinks ,motorcycle ,47
B9A1,29,4.8,Meal ,motorcycle ,43
BAB2,35,4.2,Snack ,motorcycle ,51
2C08,23,4.2,Buffet ,scooter ,31
426C,29,4.6,Meal ,scooter ,29
AF91,31,4.6,Meal ,motorcycle ,19
9A31,21,4.8,Buffet ,motorcycle ,16
898B,25,5.0,Drinks ,motorcycle ,18
7F11,37,4.0,Buffet ,scooter ,36
D124,28,4.6,Meal ,motorcycle ,26
870D,35,4.9,Buffet ,motorcycle ,49
3893,25,4.6,Meal ,motorcycle ,35
C15F,36,4.8,Buffet ,motorcycle ,23
2A30,31,3.5,Buffet ,scooter ,40
7EE9,25,4.7,Meal ,motorcycle ,24
93AC,34,4.9,Meal ,motorcycle ,24
6383,27,4.6,Drinks ,scooter ,15
E0C4,28,4.9,Snack ,scooter ,38
5949,37,4.5,Meal ,scooter ,26
8869,31,4.8,Meal ,scooter ,17
59A0,28,4.9,Drinks ,scooter ,25
D9DF,27,4.7,Buffet ,scooter ,20
824,29,4.6,Snack ,motorcycle ,27
5199,28,4.5,Meal ,scooter ,15
D91C,29,4.8,Drinks ,motorcycle ,20
1001,24,5.0,Meal ,scooter ,12
CB4C,34,4.9,Snack ,scooter ,17
6608,21,4.7,Buffet ,scooter ,15
B57E,29,4.9,Snack ,motorcycle ,23
DB29,32,4.2,Meal ,motorcycle ,35
4343,30,4.8,Drinks ,motorcycle ,15
A5CB,22,4.5,Meal ,scooter ,18
95EA,31,4.9,Snack ,scooter ,20
C5C6,32,4.9,Drinks ,scooter ,25
1564,32,4.6,Snack ,motorcycle ,25
D084,35,4.8,Buffet ,motorcycle ,28
77BC,30,4.6,Snack ,motorcycle ,43
8FDC,20,3.6,Buffet ,motorcycle ,46
FE8,36,4.1,Meal ,scooter ,31
214F,22,4.9,Meal ,motorcycle ,28
4DE8,37,4.8,Drinks ,motorcycle ,48
CA97,34,4.7,Drinks ,motorcycle ,29
8B40,39,4.7,Snack ,electric_scooter ,28
B6E5,39,3.8,Meal ,scooter ,42
F9E,25,4.6,Snack ,motorcycle ,26
42A2,31,4.0,Meal ,electric_scooter ,48
61BF,25,4.6,Meal ,scooter ,21
CD28,31,4.1,Snack ,motorcycle ,42
4BE2,29,4.6,Buffet ,electric_scooter ,21
174E,29,4.8,Snack ,scooter ,18
B3B5,31,5.0,Meal ,scooter ,28
802C,27,4.8,Buffet ,scooter ,19
75AB,32,5.0,Meal ,motorcycle ,47
3544,34,4.2,Meal ,scooter ,37
50CE,25,4.5,Meal ,scooter ,12
136E,21,4.8,Snack ,motorcycle ,10
A921,30,5.0,Drinks ,electric_scooter ,19
4655,38,4.4,Meal ,motorcycle ,32
280E,34,3.7,Meal ,motorcycle ,33
CD3B,32,4.6,Drinks ,scooter ,28
DCD7,20,4.9,Drinks ,motorcycle ,37
82CB,23,5.0,Drinks ,motorcycle ,10
B58E,24,4.7,Buffet ,scooter ,12
5457,26,5.0,Meal ,motorcycle ,18
8AD7,33,4.3,Drinks ,motorcycle ,35
D56F,31,4.9,Snack ,electric_scooter ,19
5E6A,21,4.7,Snack ,motorcycle ,25
D314,23,4.6,Buffet ,electric_scooter ,30
195D,36,4.2,Drinks ,motorcycle ,34
3896,22,4.3,Drinks ,motorcycle ,27
4E+99,29,5.0,Buffet ,scooter ,21
726D,34,4.7,Buffet ,scooter ,19
251F,24,4.5,Snack ,motorcycle ,30
421,50,6.0,Drinks ,bicycle ,12
4E+29,35,4.9,Snack ,motorcycle ,22
ACF3,30,4.9,Drinks ,motorcycle ,37
A712,30,4.9,Meal ,motorcycle ,21
6.9E+07,33,4.8,Buffet ,scooter ,23
2834,36,4.1,Buffet ,motorcycle ,46
D10C,39,4.8,Meal ,scooter ,22
6155,20,5.0,Snack ,scooter ,22
C456,34,4.7,Drinks ,motorcycle ,18
CD2F,27,4.9,Snack ,motorcycle ,24
AD76,32,4.3,Snack ,motorcycle ,33
BD93,27,5.0,Snack ,scooter ,15
82A4,27,4.9,Buffet ,motorcycle ,37
97CE,33,4.2,Drinks ,motorcycle ,35
2AA1,30,5.0,Snack ,motorcycle ,21
4040,30,4.8,Meal ,motorcycle ,12
B906,21,4.2,Meal ,scooter ,39
475C,36,4.0,Buffet ,scooter ,39
C920,35,4.6,Snack ,motorcycle ,31
